_id,playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education,correctness,human,workedWell,fair,chatUseful,feedback,time,strategy,playerIds,game_cond,chat_cond
KN7brFjwGPwS9urk2,PrgRRg5jn4LByzpHN,myfd9iE5S87qz2Luc,2022-06-24T18:44:51Z,31,Male,Bengali,NA,NA,TRUE,NA,NA,NA,master,yes,yes,disagree,yes,yes,no,yes,I was trying to click the box that benefited us both.,"KYfXYPHNmbjXZYCqy,PrgRRg5jn4LByzpHN",jun24,chat
FGzRgZa5NLfL9Jrj4,9Pk9GKS9RP8xPNtuG,f2mNy7LXjEnJhJTDi,2022-06-24T18:44:51Z,22,female,greek,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,agree,for most yeah,yes,no,yes,i started trying to get the money for me but we got more when we coordinated,"9Pk9GKS9RP8xPNtuG,YgnDk7f85uYDx2r7s",jun24,chat
mmNFjXaQEmn8WkJ8C,YgnDk7f85uYDx2r7s,f2mNy7LXjEnJhJTDi,2022-06-24T18:45:04Z,31,male,english,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,"I did, it was fair for what we did",Very smooth and easy,None,yes,"I accidentally clicked wrong on the first box and my partner thought i was against him, but i wasnt. but after we developed a strategy","9Pk9GKS9RP8xPNtuG,YgnDk7f85uYDx2r7s",jun24,chat
twCTqu8a6fnv9SRWY,KYfXYPHNmbjXZYCqy,myfd9iE5S87qz2Luc,2022-06-24T18:46:07Z,30,Male,Greek,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,Yes.,Very easy.,"The first two pages with the instructions kept refreshing every 10 seconds or so, while I was reading. I'm using google chrome.",Yes.,I tried to balance the bonus between me and my partner.,"KYfXYPHNmbjXZYCqy,PrgRRg5jn4LByzpHN",jun24,chat
JH2rDrRmBthk4AvCA,7NMCrHGLKZpjA7Rec,9J7X8LkjgAZPbbJz5,2022-06-24T18:48:36Z,29,male,Hungarian,TRUE,NA,NA,NA,NA,NA,highSchool,yes,no,disagree,I guess it wasn't.,yes.,No problems at all.,Absolutly.,Maximize the amount i could earn with the occasional switch up.,"79F3ZxqNyY2qyYKLD,7NMCrHGLKZpjA7Rec",jun24,chat
PqMrhbNWGachZdJLy,79F3ZxqNyY2qyYKLD,9J7X8LkjgAZPbbJz5,2022-06-24T18:50:26Z,20,MALE,SPANISH,NA,NA,NA,NA,NA,TRUE,someCollege,yes,no,disagree,Yes because it was random,yes,no,just for moments,To take advantage with the best possibility to earn more money,"79F3ZxqNyY2qyYKLD,7NMCrHGLKZpjA7Rec",jun24,chat
sTZivDBaYPPKgQfKA,JqyPrZCeLhER9uP6Q,9Q7YMvptphxmnS9gT,2022-06-24T18:53:12Z,27,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,Yes,Yes,No,Yes,I tried to take turns with my partner to take the higher prize.,"49334NJBywAfP6djd,JqyPrZCeLhER9uP6Q",jun24,chat
rjfRNMQuYzZ2k8gd2,8c45pMmQdQJ5GoBFX,LycsHXmDaKimnQRKF,2022-06-24T18:54:20Z,30,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,Yeah,Yes,No,Yes,"To do most equal, and make up the next rounds to make it even","8c45pMmQdQJ5GoBFX,mcQLo7dTEEcRgKmmy",jun24,chat
HyzM4Y5HALqYnJpX3,49334NJBywAfP6djd,9Q7YMvptphxmnS9gT,2022-06-24T18:55:06Z,23,Female,Spanish,FALSE,NA,NA,NA,NA,TRUE,master,yes,yes,disagree,Yes.,"Yes, even though my partner didn't use it as much as I wanted to.",No.,Yes.,"I tried to cooperate with my partner so that the distribution would be equitable and each round we would each take a little more. Since he didn't answer me in the chat, I followed his strategy, which seemed to be to end both with the same money and always give the most equal answer.","49334NJBywAfP6djd,JqyPrZCeLhER9uP6Q",jun24,chat
fwhsDtyZdKKjrLesi,mcQLo7dTEEcRgKmmy,LycsHXmDaKimnQRKF,2022-06-24T18:55:26Z,24,Male,Portuguese,TRUE,NA,NA,NA,NA,NA,master,yes,yes,disagree,Yes,Yes,No,Yes,Maximize gain for both,"8c45pMmQdQJ5GoBFX,mcQLo7dTEEcRgKmmy",jun24,chat
7BnPsx3zuHLiyMSMJ,QnCpxKMvWrEwDCTFw,NTvetXkvNKQL5JMpE,2022-06-24T18:55:44Z,21,male,spanish,NA,NA,NA,NA,NA,TRUE,someCollege,yes,yes,stronglyAgree,yes,yes,the page with the instructions of the game kept refreshing,"yes, plenty",try to keep both scores balanced,"Jwdq96ouHvT5auz2w,QnCpxKMvWrEwDCTFw",jun24,chat
L9ac2MbGjfAByfRu3,8AGQYqAjRaNjj2eKR,F6x3kNgpG6vW53yB2,2022-06-24T18:57:09Z,55,male,English,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,stronglyAgree,yes,yes very,no issues great game I want to do it again....can I???,More than enough,Kept an open communication and both shared the wealth of each round.,"8AGQYqAjRaNjj2eKR,LGLkuWbccuYuicrg6",jun24,chat
8m8tfYmTAYfMRLuuB,Jwdq96ouHvT5auz2w,NTvetXkvNKQL5JMpE,2022-06-24T18:57:35Z,27,female,zulu,NA,TRUE,NA,NA,NA,NA,bachelor,yes,yes,agree,Yes the game was fair,"Yes, the chat feature was very easy to use.",No problems at all.,"Yes, there was more than enough time.",If the points were higher on either side we take turns in earning the highest points. If the points were equal we go for the same box.,"Jwdq96ouHvT5auz2w,QnCpxKMvWrEwDCTFw",jun24,chat
MunkBjDDEbFKpdudp,LGLkuWbccuYuicrg6,F6x3kNgpG6vW53yB2,2022-06-24T18:57:36Z,21,Female,Portuguese,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,stronglyAgree,"I feel so, yes.","It was very easy to use, felt like any other common chat.","There were no problems whatsoever, think it was a nice study.","More than enough time was given, don't think we ever got close to running out of time.","I just tried to split the bonus rewards has equally as I could, while talking to the other person if it was okay to go for the choices.","8AGQYqAjRaNjj2eKR,LGLkuWbccuYuicrg6",jun24,chat
ZQFkb334eiYj9osqd,cXRC4Avo25hauPjsW,FRwRN2so2DZGywk35,2022-06-24T19:03:37Z,21,Voidborn/Female,French,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,it was ! i didn't even see the time fly by,yeah !,whoever was the emperor of the opposums with me\n\ni like them :D,ofc !,we always talked and all and it was extremely fun,"T3wYWjb9SmiDyLtex,cXRC4Avo25hauPjsW",jun24,chat
GEhrKqtXMp8w3NZXP,T3wYWjb9SmiDyLtex,FRwRN2so2DZGywk35,2022-06-24T19:04:43Z,22,Female,Portuguese,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,stronglyAgree,Yes,Yes,No but I wish I could've said goodbye,Yes,Me and my partner always selected the option that benefited both unless there was a gap between bonus payments. In that case we tried to close the gap.,"T3wYWjb9SmiDyLtex,cXRC4Avo25hauPjsW",jun24,chat
xwqCXqoHZYvGKSvyE,3WP2kYQSoj3uKrdAs,rABLTfmALBgGnFoKQ,2022-06-24T19:22:45Z,19,Female,Greek,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,"Yes, I do.","Yes, it was very easy.","No, I don't think there were any problems.","Yes, I think there was enough time.",It was to get the maximum possible bonus for both of us and to make sure that we both got almost the same amount.,"3WP2kYQSoj3uKrdAs,jDPSBH9CxMMqtyXDf",jun24,chat
oDR9LWBCAYDXTQfe2,jDPSBH9CxMMqtyXDf,rABLTfmALBgGnFoKQ,2022-06-24T19:23:37Z,27,female,greek/english,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,stronglyAgree,yes really,yes,no,not really,do be fair,"3WP2kYQSoj3uKrdAs,jDPSBH9CxMMqtyXDf",jun24,chat
kipdTGbTypt89jXkh,bdGcwy7dhKpTqmB5p,ZCB8RznsdWZjzQgYd,2022-06-24T21:41:47Z,31,Male,English,TRUE,TRUE,NA,NA,NA,NA,someCollege,yes,no,agree,Yes.,Yes.,NA,Yes.,"Choose the option that paid us both, favoring my opponent to be sure they'd play along","bdGcwy7dhKpTqmB5p,oe6JBgrHcPPhjvBzN",jun24,nochat
cFLMDaGZdDxYERW7t,oe6JBgrHcPPhjvBzN,ZCB8RznsdWZjzQgYd,2022-06-24T21:42:10Z,54,male,English,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,"No, I think it was a little unfair toward my opponent",Yes,No issues,Yes,We tried to pick the ones that would let us both earn,"bdGcwy7dhKpTqmB5p,oe6JBgrHcPPhjvBzN",jun24,nochat
fiA5WC6sWdvn6cTAD,vNgXPZvRtiZ2fYpdi,zrGPBP2b3rRKeY8ck,2022-06-24T21:42:54Z,33,female,english,NA,TRUE,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,yes,yes,no,yes,guessing,"i6D8gMxyCpWNe8BkJ,vNgXPZvRtiZ2fYpdi",jun24,nochat
9oobBvFvwQkLZhXJw,i6D8gMxyCpWNe8BkJ,zrGPBP2b3rRKeY8ck,2022-06-24T21:43:05Z,25,male,polish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,agree,Yes,Yes,No,Yes,I was trying to make decisions which will in the end give us equal reward,"i6D8gMxyCpWNe8BkJ,vNgXPZvRtiZ2fYpdi",jun24,nochat
eaNQ3jPYboXxbtyZf,bv53Sj5FdSaoEcMyq,ZS6fWvvwZnrq6Cu38,2022-06-24T21:43:13Z,33,female,English,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,Yes,Yes,N/A,Yes,"I tried to choose what would be fair for both of us, but it was sometimes difficult.","FqbCpLhhbnmGxyqfe,bv53Sj5FdSaoEcMyq",jun24,nochat
rHK6j5skGx2NtSfz8,CESMkMfe4nrh3Augx,cWxBSvnqsiapTBeLN,2022-06-24T21:43:28Z,24,Male,Portuguese,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,neutral,No,Yes,No,Yes,Try to always give the same pay for both,"CESMkMfe4nrh3Augx,nBc7H29oDSPiZ4ZCN",jun24,nochat
N6syoTs42R3oybemW,jWT2DwR7LyyR328y8,szPxqxHLgkTjjBmfZ,2022-06-24T21:43:48Z,25,Female,Spanish,TRUE,NA,NA,NA,NA,TRUE,someCollege,yes,yes,stronglyAgree,Yes,Yes,No,Yes,"If I won more than my partnet, on the next turn I chose the best answer for him or her","jWT2DwR7LyyR328y8,u5XFLom4Jab8ohvNN",jun24,nochat
2WFvTafimjmdWQCg2,FqbCpLhhbnmGxyqfe,ZS6fWvvwZnrq6Cu38,2022-06-24T21:43:59Z,54,female,english,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,yes,yes,no,yes,"I opted for the highest fairest distribution when I could, and switched between the choices that favored them or me when I couldn't to match a few","FqbCpLhhbnmGxyqfe,bv53Sj5FdSaoEcMyq",jun24,nochat
tybQGp8rqvvm2fNLo,jiDG4fDMbyCtioSYb,PoS3kboKzTLrdjAWj,2022-06-24T21:44:06Z,23,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,stronglyAgree,"I felt it was fair, I wish I could offer my partner the difference between our pay to equate ours out, if at all possible.","Yes, super easy.",N/A,I felt it did.,We just went with the best option that balanced us both out in the end on the earnings.,"a88wKW9Kgk88mya3N,jiDG4fDMbyCtioSYb",jun24,nochat
jzXhaoRwz7RE9tg2g,8WJE5CSfM9WdWrATu,hywbQJ96228j7aJSE,2022-06-24T21:44:07Z,37,male,italian,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,agree,yea I think so,yep,"nope, i had fun",yep,I tried to choose options which would let my partner to understand I was working towards a common goal,"8WJE5CSfM9WdWrATu,8mtEFqemeDEbGbRK9",jun24,nochat
dPbSiPDBoh2Wbbjgz,nBc7H29oDSPiZ4ZCN,cWxBSvnqsiapTBeLN,2022-06-24T21:44:13Z,33,Female,English,NA,TRUE,NA,NA,NA,NA,bachelor,yes,no,agree,It depended on individual selection,Yes,No,No,No strategy,"CESMkMfe4nrh3Augx,nBc7H29oDSPiZ4ZCN",jun24,nochat
ZvHqPdHGLfQZaRquk,XmNn4t8vmcmuKSBwk,y4vCskQ2ipvbQqJZp,2022-06-24T21:44:14Z,27,male,english,NA,NA,TRUE,NA,NA,NA,someCollege,yes,no,neutral,yes,yes,NA,yes,pick the opposite of whatever I thought it was,"XmNn4t8vmcmuKSBwk,fwp5m5hWKcMHzBqvJ",jun24,nochat
dRuCuNgBjHqCwrKc3,JWkM9jrFdjTM3tbtx,uYR3fqiFafhj5FvYZ,2022-06-24T21:44:23Z,22,female,italian,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,"yes, quite fair",yes,it was fun,not so much,I didn't have one,"4RLp6tw8CrGD6bi8N,JWkM9jrFdjTM3tbtx",jun24,nochat
bPkPzDAQahCw8G89h,Kmw7z75ayKXM5onfQ,j324rhioRDuzYkYJv,2022-06-24T21:44:42Z,26,Male,Turkish,TRUE,NA,NA,NA,NA,NA,bachelor,yes,no,agree,yes.,yes.,no,yes,Be coordinated with my partner and select the equal rewards.,"35Bf8odtQqtBx76JY,Kmw7z75ayKXM5onfQ",jun24,nochat
73PXJQHevGDeRdAMK,4RLp6tw8CrGD6bi8N,uYR3fqiFafhj5FvYZ,2022-06-24T21:44:42Z,21,Male,Portuguese,TRUE,NA,NA,NA,NA,TRUE,bachelor,yes,yes,agree,Yes,Yes,No,No,Varying between maximizing my own profit and following my partners lead on ocasion,"4RLp6tw8CrGD6bi8N,JWkM9jrFdjTM3tbtx",jun24,nochat
iwFNsxz4QXYdoTySe,fwp5m5hWKcMHzBqvJ,y4vCskQ2ipvbQqJZp,2022-06-24T21:44:49Z,22,Male,Portuguese,TRUE,TRUE,NA,NA,NA,TRUE,bachelor,no,yes,neutral,Yes,YES,No,YES,Try to see what was the best outcome for everyone,"XmNn4t8vmcmuKSBwk,fwp5m5hWKcMHzBqvJ",jun24,nochat
JfF8nwPqoRgbqDb3Y,x2tYjCZumvmF7Xmgj,PErsMjjrtDA2gq7Ns,2022-06-24T21:44:55Z,28,Female,Portuguese,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,Hum... Yes I guess,Yes it was,None,"Yes, I think the time was perfect","See how many points my partner have in each box, and then choose the best option","pckPwaHu5dYSP6jsj,x2tYjCZumvmF7Xmgj",jun24,nochat
hCsaW9CLmyKWmTxup,8mtEFqemeDEbGbRK9,hywbQJ96228j7aJSE,2022-06-24T21:44:57Z,21,Male,Spanish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,agree,"No, because I failed one and I won a bit more than my partner. I wish you could change the rewards so we have the same quantity","Yes, I liked it","No, I didn't have problems",Yes,I tried to make him win more or both equally,"8WJE5CSfM9WdWrATu,8mtEFqemeDEbGbRK9",jun24,nochat
f6J85XnRaYCNq73AR,35Bf8odtQqtBx76JY,j324rhioRDuzYkYJv,2022-06-24T21:45:05Z,50,Male,Bengali,NA,NA,TRUE,NA,NA,NA,master,yes,yes,disagree,"Yes, it was very fair.",It was easy to use.,No further comments other than to say at times the partner did play like a machine.,"Yes, I had more than enough time.",I was trying to maximise my payoff versus my partner.,"35Bf8odtQqtBx76JY,Kmw7z75ayKXM5onfQ",jun24,nochat
zFPEDWgTNuKPgowgZ,bE98cbLsuqwZLMA6a,yi293Yv5N4r9GBR5b,2022-06-24T21:45:09Z,24,Female,English,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,Yes,Yes,No,Yes,Pick the best one for both of us,"6h5noaoG6oRD2rn3i,bE98cbLsuqwZLMA6a",jun24,nochat
8HHxCmejaKQ9MGarD,FiePEmqjrX6ete7tC,An7iDHsW2aJ9P5xNs,2022-06-24T21:45:15Z,30,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor,yes,no,stronglyDisagree,Yes.,Yes.,No.,Yes.,Choose the option that provides the best outcome for me without my partner earning more than me.,"3YM9gSDdL5vvpADy7,FiePEmqjrX6ete7tC",jun24,nochat
viuvPTgeyZFX8Sk9i,u5XFLom4Jab8ohvNN,szPxqxHLgkTjjBmfZ,2022-06-24T21:45:18Z,43,Female,Italian,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,Yes,"Yes, vey much so",None,Yes,"When the compensation was equal, such as 4-4 , I chose that. When there was 0-0 and more money for my partner, I gave it to him.","jWT2DwR7LyyR328y8,u5XFLom4Jab8ohvNN",jun24,nochat
E8tYMLad4Y9LFwwYs,3YM9gSDdL5vvpADy7,An7iDHsW2aJ9P5xNs,2022-06-24T21:45:50Z,24,male,NA,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,stronglyDisagree,The pay was fair,Chat was easy to use,no,"More than enough time, most choices took 10 seconds or less",Initially try and be fair. When I found my partner to be greedy (and ALWAYS choose the highest option for themselves) I thought it best to play along so as to make sure I won something.,"3YM9gSDdL5vvpADy7,FiePEmqjrX6ete7tC",jun24,nochat
kRpxdbNBEE8iYADAH,pckPwaHu5dYSP6jsj,PErsMjjrtDA2gq7Ns,2022-06-24T21:46:17Z,22,Male,Polish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,agree,Yes,Yes,No,Yes,"In situations where the difference between points was big i tried to get the most of it, but not always, to confuse my partner a bit. I was trying to get 50/50 split when i felt it was the best for both parties","pckPwaHu5dYSP6jsj,x2tYjCZumvmF7Xmgj",jun24,nochat
yQatCbK4JwBenc25H,a88wKW9Kgk88mya3N,PoS3kboKzTLrdjAWj,2022-06-24T21:46:20Z,25,Female,Greek,TRUE,NA,NA,NA,NA,NA,master,yes,yes,stronglyAgree,yes i believe it was fair,yes it was fine,"only at the beginning on the page with the instructions with the boxes, the page was refreshing a lot and it was difficult to read the instructions. nice game. but was I really talking to a player or a bot? ahaha",yes,"the strategy was to benefit as much, and this meant that I had to work together with the other player.","a88wKW9Kgk88mya3N,jiDG4fDMbyCtioSYb",jun24,nochat
yuziEBWHKyoaXr8Zq,ztPQaaTNJbzpd5PDe,mJHDn5YQvPxDfSMK6,2022-06-24T21:46:46Z,28,male,hungarian,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,yes,yes,no,yes,We cooperated as best we could to maximize benefit for both of us,"yu4MpD4JtmRBNDtdC,ztPQaaTNJbzpd5PDe",jun24,nochat
6rpCEkY5np8Piznuq,yu4MpD4JtmRBNDtdC,mJHDn5YQvPxDfSMK6,2022-06-24T21:46:47Z,43,Female,English,TRUE,NA,NA,NA,NA,NA,master,yes,yes,stronglyAgree,Yes,Yes,No,Yes,Take a lower return if this was mutually beneficial in order to build trust,"yu4MpD4JtmRBNDtdC,ztPQaaTNJbzpd5PDe",jun24,nochat
qAmGGtQuzRr3uvSNC,6h5noaoG6oRD2rn3i,yi293Yv5N4r9GBR5b,2022-06-24T21:47:44Z,23,male,english,TRUE,NA,NA,NA,NA,NA,master,yes,no,stronglyAgree,Yes,Yes,"The instruction page keeped reloading somehow, but it wasn't a big problem",Yes,I wanted to choose option that will be equally beneficial to me and my partner,"6h5noaoG6oRD2rn3i,bE98cbLsuqwZLMA6a",jun24,nochat
EoMXDTYF9x7RuKf3j,m4MDbpmtsBJNKZASa,YZET4BizWYaqJxGMz,2022-06-24T21:47:59Z,59,Female,English,NA,TRUE,NA,NA,NA,NA,bachelor,yes,no,disagree,I didn't really notice about that.,"Yes, very easy.","No, I did not notice any problems.",Yes.,Choose the square with the numbers in my favour.,"ZPMK28iAPfmtLm3wH,m4MDbpmtsBJNKZASa",jun24,nochat
tZWMx84P3y9hoxDgn,xPBSBGS4KYgaQ6Cbc,dqwWexyp6uZFN3ywZ,2022-06-24T21:48:09Z,46,Male,English,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,Yes,Yes,No problems,Yes,"Try to have us winning roughly the equal amounts. So if one of us was ahead, try to offer the other the most points. Or sometimes take it in turn to get the most points.","aaZBH4E4cBNeJdq3s,xPBSBGS4KYgaQ6Cbc",jun24,nochat
aFttRWSu9QDW8GrGS,aqf28wvY8KdTHFr2Q,QFT6pjoGMRdWGYQGj,2022-06-24T21:49:09Z,29,male,German,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,agree,Yes overall the payment was fair and fairly distributed,Yes it was like any other chat.,I didn't have any problems. It was a very fun study.,Yes there was enough time in each round.,I try to get the best option for both of us. But also reacted to his/her decision if he/she wants to get more than me.,"8rdWL4uwqorMKJPgk,aqf28wvY8KdTHFr2Q",jun24,nochat
92GELpLEJapxoC57h,8rdWL4uwqorMKJPgk,QFT6pjoGMRdWGYQGj,2022-06-24T21:49:47Z,52,Male,Arabic,TRUE,NA,NA,NA,NA,NA,master,yes,yes,agree,yes,It was only at the beginning of the game.,No. Nice game.,"yes, once we understand the strategy",Select the box that would gain the maximum for both players,"8rdWL4uwqorMKJPgk,aqf28wvY8KdTHFr2Q",jun24,nochat
skBSwp4HfvKnimmyh,SW3JbYpoZgJosZ7Fz,aqTgFeDJedmHsJdN3,2022-06-24T21:49:55Z,39,Male,English,TRUE,TRUE,NA,NA,NA,NA,someCollege,yes,yes,disagree,"Yes, especially with the bonus.","Yes, although the volume of the notification was a little loud.",No.,"Yes, I had more than enough time to decide on a box since I couldn't communicate with my partner through anything other than box choice, and I had enough time to view and interpret the result.","Whenever an option came up to mutually win evenly, I selected that option and was proud to see that my partner did the same, even though it would have mathematically been in our favor to ""betray"" each other strategically when the sum of the numbers is the highest, if we were to always err on the side of the person with the lowest total earnings.  My partner always chose the mutually beneficial option, and I always did the same, especially since that kept the trust up.  On the lopsided ones, I think my  partner initially wanted to alternate between what benefits me and what benefits him, but I was going based on who was earning the least in that moment.  I believe we realized that and switched to the other person's strategy, which actually made us lose a few rounds since we both did so at the same time.  Eventually it seems we landed on giving the extra earnings to the person with the lower running total, and through this strategy and luck we ended up getting the same exact amount in the end.","3hkmd443h5Hoc7uRA,SW3JbYpoZgJosZ7Fz",jun24,nochat
tarFE53w7xs2XZZNi,3hkmd443h5Hoc7uRA,aqTgFeDJedmHsJdN3,2022-06-24T21:51:59Z,32,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,agree,Yes,"Yes, but I didn't see any hints or advice of what to do in the chat time. It did make me think the other player was a human though.",The instruction page frequently flickered and was repositioned so I had to read fast and scroll down after repeatedly being set back. I was using Chrome.,Yes,I didn't want to seem like I was cheating the other person out of money. I tried to have a pattern that the other person would pick up on so we could get more money.,"3hkmd443h5Hoc7uRA,SW3JbYpoZgJosZ7Fz",jun24,nochat
8FkHKWr4hShBvjtFf,aaZBH4E4cBNeJdq3s,dqwWexyp6uZFN3ywZ,2022-06-24T21:52:11Z,25,Male,Spanish,NA,NA,NA,NA,NA,TRUE,bachelor,yes,yes,agree,I think a little more would spice things a bit more but yeah I think it was a fair payment,Yes it was like any other chat and that's all it needed to be :),"The whole study has some kind of flickering thing going on. It was a little annoying because I needed to scroll again each time the site refreshed randomly in the game instructions, also each round the site refreshed itself to the next one and it was a little distracting. that said it was really fun. Good luck with your research!",Just the right ammount to think about it.It was good. If anything I think the chat part should have been like 3 min longer so we could speak about the game a little.,"I tried to predict my buddy's decision, sometimes worked out but sometimes it did not","aaZBH4E4cBNeJdq3s,xPBSBGS4KYgaQ6Cbc",jun24,nochat
